   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     2.00      1.00    500.00       5.3     347.9     520.7     873.9
     2.00      1.10    500.00       6.0     382.7     572.7     961.5
     2.00      1.20    500.00       6.7     417.5     624.8    1049.0
     2.00      1.30    500.00       7.4     452.3     676.9    1136.6
     2.00      1.40    500.00       8.1     487.0     729.0    1224.1
     2.00      1.50    500.00       8.9     521.8     781.0    1311.7
     2.00      1.60    500.00       9.6     556.6     833.1    1399.3
     2.00      1.70    500.00      10.4     591.4     885.2    1487.0
     2.00      1.80    500.00      11.1     626.2     937.2    1574.6
     2.00      1.90    500.00      11.9     661.0     989.3    1662.2
     2.00      2.00    500.00      12.7     695.8    1041.4    1749.9
     2.00      2.10    500.00      13.5     730.6    1093.4    1837.5
     2.00      2.20    500.00      14.3     765.4    1145.5    1925.2
     2.00      2.30    500.00      15.1     800.2    1197.6    2012.9
     2.00      2.40    500.00      16.0     834.9    1249.6    2100.5
     2.00      2.50    500.00      16.8     869.7    1301.7    2188.2
     2.00      2.60    500.00      17.6     904.5    1353.8    2275.9
     2.00      2.70    500.00      18.5     939.3    1405.8    2363.6
     2.00      2.80    500.00      19.4     974.1    1457.9    2451.4
     2.00      2.90    500.00      20.2    1008.9    1510.0    2539.1
     2.00      3.00    500.00      21.1    1043.7    1562.0    2626.8
     2.00      1.00    550.00       5.9     347.9     520.7     874.5
     2.00      1.10    550.00       6.6     382.7     572.7     962.1
     2.00      1.20    550.00       7.4     417.5     624.8    1049.7
     2.00      1.30    550.00       8.2     452.3     676.9    1137.3
     2.00      1.40    550.00       9.0     487.0     729.0    1225.0
     2.00      1.50    550.00       9.8     521.8     781.0    1312.6
     2.00      1.60    550.00      10.6     556.6     833.1    1400.3
     2.00      1.70    550.00      11.4     591.4     885.2    1488.0
     2.00      1.80    550.00      12.3     626.2     937.2    1575.7
     2.00      1.90    550.00      13.1     661.0     989.3    1663.4
     2.00      2.00    550.00      14.0     695.8    1041.4    1751.1
     2.00      2.10    550.00      14.9     730.6    1093.4    1838.9
     2.00      2.20    550.00      15.8     765.4    1145.5    1926.6
     2.00      2.30    550.00      16.7     800.2    1197.6    2014.4
     2.00      2.40    550.00      17.6     834.9    1249.6    2102.1
     2.00      2.50    550.00      18.5     869.7    1301.7    2189.9
     2.00      2.60    550.00      19.4     904.5    1353.8    2277.7
     2.00      2.70    550.00      20.3     939.3    1405.8    2365.5
     2.00      2.80    550.00      21.3     974.1    1457.9    2453.3
     2.00      2.90    550.00      22.3    1008.9    1510.0    2541.1
     2.00      3.00    550.00      23.2    1043.7    1562.0    2628.9
     2.00      1.00    600.00       6.4     347.9     520.7     875.0
     2.00      1.10    600.00       7.2     382.7     572.7     962.7
     2.00      1.20    600.00       8.1     417.5     624.8    1050.3
     2.00      1.30    600.00       8.9     452.3     676.9    1138.0
     2.00      1.40    600.00       9.8     487.0     729.0    1225.8
     2.00      1.50    600.00      10.6     521.8     781.0    1313.5
     2.00      1.60    600.00      11.5     556.6     833.1    1401.3
     2.00      1.70    600.00      12.5     591.4     885.2    1489.0
     2.00      1.80    600.00      13.4     626.2     937.2    1576.8
     2.00      1.90    600.00      14.3     661.0     989.3    1664.6
     2.00      2.00    600.00      15.3     695.8    1041.4    1752.4
     2.00      2.10    600.00      16.2     730.6    1093.4    1840.2
     2.00      2.20    600.00      17.2     765.4    1145.5    1928.0
     2.00      2.30    600.00      18.2     800.2    1197.6    2015.9
     2.00      2.40    600.00      19.2     834.9    1249.6    2103.7
     2.00      2.50    600.00      20.2     869.7    1301.7    2191.6
     2.00      2.60    600.00      21.2     904.5    1353.8    2279.5
     2.00      2.70    600.00      22.2     939.3    1405.8    2367.3
     2.00      2.80    600.00      23.2     974.1    1457.9    2455.2
     2.00      2.90    600.00      24.3    1008.9    1510.0    2543.1
     2.00      3.00    600.00      25.3    1043.7    1562.0    2631.0
     2.00      1.00    650.00       6.9     347.9     520.7     875.5
     2.00      1.10    650.00       7.8     382.7     572.7     963.3
     2.00      1.20    650.00       8.7     417.5     624.8    1051.0
     2.00      1.30    650.00       9.6     452.3     676.9    1138.8
     2.00      1.40    650.00      10.6     487.0     729.0    1226.6
     2.00      1.50    650.00      11.5     521.8     781.0    1314.4
     2.00      1.60    650.00      12.5     556.6     833.1    1402.2
     2.00      1.70    650.00      13.5     591.4     885.2    1490.1
     2.00      1.80    650.00      14.5     626.2     937.2    1577.9
     2.00      1.90    650.00      15.5     661.0     989.3    1665.8
     2.00      2.00    650.00      16.5     695.8    1041.4    1753.7
     2.00      2.10    650.00      17.6     730.6    1093.4    1841.6
     2.00      2.20    650.00      18.6     765.4    1145.5    1929.5
     2.00      2.30    650.00      19.7     800.2    1197.6    2017.4
     2.00      2.40    650.00      20.8     834.9    1249.6    2105.3
     2.00      2.50    650.00      21.8     869.7    1301.7    2193.3
     2.00      2.60    650.00      22.9     904.5    1353.8    2281.2
     2.00      2.70    650.00      24.0     939.3    1405.8    2369.2
     2.00      2.80    650.00      25.2     974.1    1457.9    2457.2
     2.00      2.90    650.00      26.3    1008.9    1510.0    2545.2
     2.00      3.00    650.00      27.4    1043.7    1562.0    2633.2
     2.00      1.00    700.00       7.5     347.9     520.7     876.1
     2.00      1.10    700.00       8.4     382.7     572.7     963.9
     2.00      1.20    700.00       9.4     417.5     624.8    1051.7
     2.00      1.30    700.00      10.4     452.3     676.9    1139.5
     2.00      1.40    700.00      11.4     487.0     729.0    1227.4
     2.00      1.50    700.00      12.4     521.8     781.0    1315.3
     2.00      1.60    700.00      13.5     556.6     833.1    1403.2
     2.00      1.70    700.00      14.5     591.4     885.2    1491.1
     2.00      1.80    700.00      15.6     626.2     937.2    1579.0
     2.00      1.90    700.00      16.7     661.0     989.3    1667.0
     2.00      2.00    700.00      17.8     695.8    1041.4    1754.9
     2.00      2.10    700.00      18.9     730.6    1093.4    1842.9
     2.00      2.20    700.00      20.0     765.4    1145.5    1930.9
     2.00      2.30    700.00      21.2     800.2    1197.6    2018.9
     2.00      2.40    700.00      22.4     834.9    1249.6    2106.9
     2.00      2.50    700.00      23.5     869.7    1301.7    2195.0
     2.00      2.60    700.00      24.7     904.5    1353.8    2283.0
     2.00      2.70    700.00      25.9     939.3    1405.8    2371.0
     2.00      2.80    700.00      27.1     974.1    1457.9    2459.1
     2.00      2.90    700.00      28.3    1008.9    1510.0    2547.2
     2.00      3.00    700.00      29.5    1043.7    1562.0    2635.3
     2.00      1.00    750.00       8.0     347.9     520.7     876.6
     2.00      1.10    750.00       9.0     382.7     572.7     964.5
     2.00      1.20    750.00      10.1     417.5     624.8    1052.4
     2.00      1.30    750.00      11.1     452.3     676.9    1140.3
     2.00      1.40    750.00      12.2     487.0     729.0    1228.2
     2.00      1.50    750.00      13.3     521.8     781.0    1316.2
     2.00      1.60    750.00      14.4     556.6     833.1    1404.1
     2.00      1.70    750.00      15.6     591.4     885.2    1492.1
     2.00      1.80    750.00      16.7     626.2     937.2    1580.1
     2.00      1.90    750.00      17.9     661.0     989.3    1668.2
     2.00      2.00    750.00      19.1     695.8    1041.4    1756.2
     2.00      2.10    750.00      20.3     730.6    1093.4    1844.3
     2.00      2.20    750.00      21.5     765.4    1145.5    1932.3
     2.00      2.30    750.00      22.7     800.2    1197.6    2020.4
     2.00      2.40    750.00      23.9     834.9    1249.6    2108.5
     2.00      2.50    750.00      25.2     869.7    1301.7    2196.6
     2.00      2.60    750.00      26.5     904.5    1353.8    2284.8
     2.00      2.70    750.00      27.7     939.3    1405.8    2372.9
     2.00      2.80    750.00      29.0     974.1    1457.9    2461.0
     2.00      2.90    750.00      30.3    1008.9    1510.0    2549.2
     2.00      3.00    750.00      31.7    1043.7    1562.0    2637.4
     2.00      1.00    800.00       8.6     347.9     520.7     877.1
     2.00      1.10    800.00       9.6     382.7     572.7     965.1
     2.00      1.20    800.00      10.7     417.5     624.8    1053.0
     2.00      1.30    800.00      11.9     452.3     676.9    1141.0
     2.00      1.40    800.00      13.0     487.0     729.0    1229.0
     2.00      1.50    800.00      14.2     521.8     781.0    1317.1
     2.00      1.60    800.00      15.4     556.6     833.1    1405.1
     2.00      1.70    800.00      16.6     591.4     885.2    1493.2
     2.00      1.80    800.00      17.8     626.2     937.2    1581.3
     2.00      1.90    800.00      19.1     661.0     989.3    1669.4
     2.00      2.00    800.00      20.3     695.8    1041.4    1757.5
     2.00      2.10    800.00      21.6     730.6    1093.4    1845.6
     2.00      2.20    800.00      22.9     765.4    1145.5    1933.8
     2.00      2.30    800.00      24.2     800.2    1197.6    2021.9
     2.00      2.40    800.00      25.5     834.9    1249.6    2110.1
     2.00      2.50    800.00      26.9     869.7    1301.7    2198.3
     2.00      2.60    800.00      28.2     904.5    1353.8    2286.5
     2.00      2.70    800.00      29.6     939.3    1405.8    2374.7
     2.00      2.80    800.00      31.0     974.1    1457.9    2463.0
     2.00      2.90    800.00      32.4    1008.9    1510.0    2551.2
     2.00      3.00    800.00      33.8    1043.7    1562.0    2639.5
     3.00      1.00    500.00       5.3     521.8     520.7    1047.9
     3.00      1.10    500.00       6.0     574.0     572.7    1152.8
     3.00      1.20    500.00       6.7     626.2     624.8    1257.7
     3.00      1.30    500.00       7.4     678.4     676.9    1362.7
     3.00      1.40    500.00       8.1     730.6     729.0    1467.7
     3.00      1.50    500.00       8.9     782.8     781.0    1572.7
     3.00      1.60    500.00       9.6     834.9     833.1    1677.7
     3.00      1.70    500.00      10.4     887.1     885.2    1782.7
     3.00      1.80    500.00      11.1     939.3     937.2    1887.7
     3.00      1.90    500.00      11.9     991.5     989.3    1992.7
     3.00      2.00    500.00      12.7    1043.7    1041.4    2097.8
     3.00      2.10    500.00      13.5    1095.9    1093.4    2202.8
     3.00      2.20    500.00      14.3    1148.0    1145.5    2307.9
     3.00      2.30    500.00      15.1    1200.2    1197.6    2412.9
     3.00      2.40    500.00      16.0    1252.4    1249.6    2518.0
     3.00      2.50    500.00      16.8    1304.6    1301.7    2623.1
     3.00      2.60    500.00      17.6    1356.8    1353.8    2728.2
     3.00      2.70    500.00      18.5    1409.0    1405.8    2833.3
     3.00      2.80    500.00      19.4    1461.1    1457.9    2938.4
     3.00      2.90    500.00      20.2    1513.3    1510.0    3043.5
     3.00      3.00    500.00      21.1    1565.5    1562.0    3148.7
     3.00      1.00    550.00       5.9     521.8     520.7    1048.4
     3.00      1.10    550.00       6.6     574.0     572.7    1153.4
     3.00      1.20    550.00       7.4     626.2     624.8    1258.4
     3.00      1.30    550.00       8.2     678.4     676.9    1363.4
     3.00      1.40    550.00       9.0     730.6     729.0    1468.5
     3.00      1.50    550.00       9.8     782.8     781.0    1573.5
     3.00      1.60    550.00      10.6     834.9     833.1    1678.6
     3.00      1.70    550.00      11.4     887.1     885.2    1783.7
     3.00      1.80    550.00      12.3     939.3     937.2    1888.8
     3.00      1.90    550.00      13.1     991.5     989.3    1993.9
     3.00      2.00    550.00      14.0    1043.7    1041.4    2099.0
     3.00      2.10    550.00      14.9    1095.9    1093.4    2204.2
     3.00      2.20    550.00      15.8    1148.0    1145.5    2309.3
     3.00      2.30    550.00      16.7    1200.2    1197.6    2414.4
     3.00      2.40    550.00      17.6    1252.4    1249.6    2519.6
     3.00      2.50    550.00      18.5    1304.6    1301.7    2624.8
     3.00      2.60    550.00      19.4    1356.8    1353.8    2730.0
     3.00      2.70    550.00      20.3    1409.0    1405.8    2835.2
