IceStrength(kPa),IceThickness(m),AttainableSpeed(kts)_60,AttainableSpeed(kts)_80,AttainableSpeed(kts)_90
   400.000,     0.200,     5.000,     5.000,     5.000
   400.000,     0.300,     5.000,     5.000,     5.000
   400.000,     0.400,     5.000,     3.000,     3.000
   400.000,     0.500,     5.000,     3.000,     3.000
   400.000,     0.600,     5.000,     3.000,     1.000
   400.000,     0.700,     3.000,     1.000,     1.000
   400.000,     0.800,     3.000,     1.000,     1.000
   400.000,     0.900,     3.000,     1.000,     1.000
   400.000,     1.000,     3.000,     1.000,     1.000
   400.000,     1.100,     3.000,     1.000,     1.000
