     SPEED            =  2.000  Knots 
     BREADTH          =   50.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  497
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
     248.5000       0.5830      22.0000       0.8650       0.3910      -0.3150      65.6560      38.8240      20.0060
     248.0000       1.3000      22.0000       0.6790       0.6340      -0.3700      46.9980      30.2880      28.5760
     247.5000       1.7640      22.0000       0.5780       0.7070      -0.4070      39.2480      29.9050      35.1450
     247.0000       2.1410      22.0000       0.5210       0.7350      -0.4350      35.3190      30.6230      39.8760
     246.5000       2.4800      22.0000       0.4860       0.7460      -0.4550      33.0780      31.3630      43.1000
     246.0000       2.7970      22.0000       0.4650       0.7520      -0.4680      31.7440      31.8770      45.1480
     245.5000       3.1010      22.0000       0.4520       0.7550      -0.4740      30.9120      32.1400      46.3760
     245.0000       3.3980      22.0000       0.4460       0.7560      -0.4800      30.5380      32.4240      47.1160
     244.5000       3.6930      22.0000       0.4440       0.7520      -0.4870      30.5760      32.9250      47.6220
     244.0000       3.9880      22.0000       0.4430       0.7490      -0.4930      30.6080      33.3380      48.0350
     243.5000       4.2840      22.0000       0.4410       0.7480      -0.4970      30.5300      33.5880      48.3930
     243.0000       4.5780      22.0000       0.4380       0.7480      -0.4990      30.3610      33.7170      48.7250
     242.5000       4.8700      22.0000       0.4360       0.7470      -0.5020      30.2490      33.8700      49.0150
     242.0000       5.1610      22.0000       0.4340       0.7470      -0.5040      30.1440      33.9820      49.2550
     241.5000       5.4510      22.0000       0.4320       0.7470      -0.5050      30.0470      34.0630      49.4520
     241.0000       5.7390      22.0000       0.4310       0.7470      -0.5060      29.9580      34.1210      49.6150
     240.5000       6.0270      22.0000       0.4290       0.7470      -0.5070      29.8780      34.1650      49.7530
     240.0000       6.3140      22.0000       0.4280       0.7470      -0.5080      29.8070      34.2050      49.8760
     239.5000       6.6000      22.0000       0.4270       0.7480      -0.5090      29.7360      34.2380      49.9930
     239.0000       6.8850      22.0000       0.4260       0.7480      -0.5090      29.6640      34.2710      50.1090
     238.5000       7.1690      22.0000       0.4250       0.7480      -0.5100      29.5930      34.3010      50.2230
     238.0000       7.4530      22.0000       0.4240       0.7480      -0.5110      29.5230      34.3320      50.3360
     237.5000       7.7360      22.0000       0.4230       0.7480      -0.5120      29.4520      34.3580      50.4440
     237.0000       8.0170      22.0000       0.4210       0.7480      -0.5130      29.3990      34.4610      50.6130
     236.5000       8.2990      22.0000       0.4200       0.7480      -0.5140      29.3360      34.4720      50.6960
     236.0000       8.5790      22.0000       0.4190       0.7490      -0.5140      29.2590      34.4580      50.7720
     235.5000       8.8590      22.0000       0.4180       0.7490      -0.5140      29.1780      34.4360      50.8410
     235.0000       9.1380      22.0000       0.4170       0.7500      -0.5140      29.1010      34.4130      50.9050
     234.5000       9.4160      22.0000       0.4160       0.7500      -0.5130      29.0250      34.3840      50.9630
     234.0000       9.6930      22.0000       0.4150       0.7510      -0.5130      28.9470      34.3460      51.0140
     233.5000       9.9690      22.0000       0.4140       0.7520      -0.5130      28.8690      34.3040      51.0590
     233.0000      10.2440      22.0000       0.4140       0.7530      -0.5120      28.7910      34.2550      51.0970
     232.5000      10.5180      22.0000       0.4130       0.7530      -0.5120      28.7080      34.1960      51.1310
     232.0000      10.7920      22.0000       0.4120       0.7540      -0.5110      28.6260      34.1350      51.1630
     231.5000      11.0640      22.0000       0.4110       0.7550      -0.5110      28.5460      34.0740      51.1920
     231.0000      11.3360      22.0000       0.4100       0.7560      -0.5100      28.4650      34.0120      51.2210
     230.5000      11.6060      22.0000       0.4090       0.7570      -0.5100      28.3790      33.9440      51.2490
     230.0000      11.8760      22.0000       0.4080       0.7580      -0.5090      28.2890      33.8710      51.2770
     229.5000      12.1440      22.0000       0.4070       0.7590      -0.5080      28.1930      33.7920      51.3070
     229.0000      12.4120      22.0000       0.4060       0.7600      -0.5070      28.0920      33.7100      51.3390
     228.5000      12.6780      22.0000       0.4050       0.7610      -0.5060      27.9880      33.6260      51.3720
     228.0000      12.9430      22.0000       0.4030       0.7630      -0.5060      27.8810      33.5410      51.4070
     227.5000      13.2070      22.0000       0.4020       0.7640      -0.5050      27.7720      33.4530      51.4430
     227.0000      13.4700      22.0000       0.4010       0.7650      -0.5040      27.6600      33.3630      51.4810
     226.5000      13.7310      22.0000       0.4000       0.7660      -0.5030      27.5440      33.2720      51.5210
     226.0000      13.9910      22.0000       0.3980       0.7680      -0.5020      27.4270      33.1800      51.5630
     225.5000      14.2500      22.0000       0.3970       0.7690      -0.5010      27.3050      33.0840      51.6070
     225.0000      14.5080      22.0000       0.3960       0.7700      -0.5000      27.1770      32.9850      51.6550
     224.5000      14.7640      22.0000       0.3940       0.7720      -0.4990      27.0430      32.8820      51.7050
     224.0000      15.0180      22.0000       0.3920       0.7730      -0.4980      26.9050      32.7740      51.7560
     223.5000      15.2710      22.0000       0.3910       0.7750      -0.4970      26.7620      32.6580      51.8040
     223.0000      15.5220      22.0000       0.3890       0.7770      -0.4950      26.6140      32.5310      51.8480
     222.5000      15.7720      22.0000       0.3870       0.7780      -0.4940      26.4600      32.3920      51.8850
     222.0000      16.0200      22.0000       0.3860       0.7800      -0.4920      26.3020      32.2410      51.9160
     221.5000      16.2660      22.0000       0.3840       0.7820      -0.4900      26.1380      32.0770      51.9390
     221.0000      16.5110      22.0000       0.3820       0.7850      -0.4880      25.9670      31.9000      51.9590
     220.5000      16.7530      22.0000       0.3800       0.7870      -0.4860      25.7890      31.7120      51.9750
     220.0000      16.9940      22.0000       0.3780       0.7890      -0.4840      25.6020      31.5140      51.9930
     219.5000      17.2320      22.0000       0.3760       0.7920      -0.4820      25.4000      31.3080      52.0200
     219.0000      17.4690      22.0000       0.3740       0.7940      -0.4790      25.2010      31.0930      52.0350
     218.5000      17.7030      22.0000       0.3710       0.7970      -0.4760      24.9880      30.8660      52.0540
     218.0000      17.9350      22.0000       0.3690       0.8000      -0.4740      24.7590      30.6290      52.0830
     217.5000      18.1640      22.0000       0.3660       0.8030      -0.4710      24.5160      30.3820      52.1200
     217.0000      18.3910      22.0000       0.3630       0.8060      -0.4680      24.2600      30.1240      52.1630
     216.5000      18.6150      22.0000       0.3600       0.8090      -0.4640      23.9950      29.8530      52.2030
     216.0000      18.8360      22.0000       0.3570       0.8120      -0.4610      23.7210      29.5670      52.2420
