   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     1.00      0.20    400.00      21.0     682.1      47.2     750.4
     1.00      0.30    400.00      34.8    1023.2      70.8    1128.9
     1.00      0.40    400.00      49.9    1364.3      94.5    1508.6
     1.00      0.50    400.00      65.9    1705.4     118.1    1889.4
     1.00      0.60    400.00      82.8    2046.4     141.7    2270.9
     1.00      0.70    400.00     100.4    2387.5     165.3    2653.2
     1.00      0.80    400.00     118.6    2728.6     188.9    3036.2
     1.00      0.90    400.00     137.5    3069.7     212.5    3419.7
     1.00      1.00    400.00     156.8    3410.7     236.1    3803.7
     1.00      1.10    400.00     176.7    3751.8     259.8    4188.2
     1.00      0.20    500.00      26.2     682.1      47.2     755.6
     1.00      0.30    500.00      43.5    1023.2      70.8    1137.6
     1.00      0.40    500.00      62.4    1364.3      94.5    1521.1
     1.00      0.50    500.00      82.4    1705.4     118.1    1905.9
     1.00      0.60    500.00     103.5    2046.4     141.7    2291.7
     1.00      0.70    500.00     125.5    2387.5     165.3    2678.3
     1.00      0.80    500.00     148.3    2728.6     188.9    3065.8
     1.00      0.90    500.00     171.8    3069.7     212.5    3454.0
     1.00      1.00    500.00     196.0    3410.7     236.1    3842.9
     1.00      1.10    500.00     220.8    3751.8     259.8    4232.4
     1.00      0.20    600.00      31.5     682.1      47.2     760.8
     1.00      0.30    600.00      52.2    1023.2      70.8    1146.3
     1.00      0.40    600.00      74.8    1364.3      94.5    1533.6
     1.00      0.50    600.00      98.9    1705.4     118.1    1922.3
     1.00      0.60    600.00     124.2    2046.4     141.7    2312.4
     1.00      0.70    600.00     150.6    2387.5     165.3    2703.4
     1.00      0.80    600.00     178.0    2728.6     188.9    3095.5
     1.00      0.90    600.00     206.2    3069.7     212.5    3488.4
     1.00      1.00    600.00     235.2    3410.7     236.1    3882.1
     1.00      1.10    600.00     265.0    3751.8     259.8    4276.6
     1.00      0.20    700.00      36.7     682.1      47.2     766.1
     1.00      0.30    700.00      60.9    1023.2      70.8    1155.0
     1.00      0.40    700.00      87.3    1364.3      94.5    1546.1
     1.00      0.50    700.00     115.4    1705.4     118.1    1938.8
     1.00      0.60    700.00     144.9    2046.4     141.7    2333.1
     1.00      0.70    700.00     175.7    2387.5     165.3    2728.5
     1.00      0.80    700.00     207.6    2728.6     188.9    3125.2
     1.00      0.90    700.00     240.6    3069.7     212.5    3522.8
