   Vs(kts)      Hi(m)     sigf(kPa)         R_br(kN)          R_cl(kN)          R_bu(kN)           R_i(kN)
 1.000000       0.074000      33.099998       0.195866       3.222840       6.124555       9.543261
 2.000000       0.074000      33.099998       0.195866       6.445680       6.124555      12.766100
 3.000000       0.074000      33.099998       0.195866       9.668521       6.124555      15.988942
 4.000000       0.074000      33.099998       0.195866      12.891360       6.124555      19.211781
 5.000000       0.074000      33.099998       0.195866      16.114201       6.124555      22.434620
 6.000000       0.074000      33.099998       0.195866      19.337042       6.124555      25.657465
 7.000000       0.074000      33.099998       0.195866      22.559879       6.124555      28.880302
 8.000000       0.074000      33.099998       0.195866      25.782721       6.124555      32.103142
 9.000000       0.074000      33.099998       0.195866      29.005560       6.124555      35.325981
10.000000       0.074000      33.099998       0.195866      32.228401       6.124555      38.548820
11.000000       0.074000      33.099998       0.195866      35.451241       6.124555      41.771664
12.000000       0.074000      33.099998       0.195866      38.674084       6.124555      44.994507
13.000000       0.074000      33.099998       0.195866      41.896919       6.124555      48.217342
14.000000       0.074000      33.099998       0.195866      45.119759       6.124555      51.440182
15.000000       0.074000      33.099998       0.195866      48.342606       6.124555      54.663025
16.000000       0.074000      33.099998       0.195866      51.565441       6.124555      57.885860
   Vs(kts)      Hi(m)     sigf(kPa)         R_br(kN)          R_cl(kN)          R_bu(kN)           R_i(kN)
 1.000000       0.119000     144.600006       1.549510       5.182675       9.848947      16.581131
 2.000000       0.119000     144.600006       1.549510      10.365351       9.848947      21.763807
 3.000000       0.119000     144.600006       1.549510      15.548026       9.848947      26.946482
 4.000000       0.119000     144.600006       1.549510      20.730701       9.848947      32.129158
 5.000000       0.119000     144.600006       1.549510      25.913376       9.848947      37.311832
 6.000000       0.119000     144.600006       1.549510      31.096052       9.848947      42.494511
 7.000000       0.119000     144.600006       1.549510      36.278728       9.848947      47.677181
 8.000000       0.119000     144.600006       1.549510      41.461403       9.848947      52.859859
 9.000000       0.119000     144.600006       1.549510      46.644081       9.848947      58.042534
10.000000       0.119000     144.600006       1.549510      51.826752       9.848947      63.225204
11.000000       0.119000     144.600006       1.549510      57.009430       9.848947      68.407883
12.000000       0.119000     144.600006       1.549510      62.192104       9.848947      73.590561
13.000000       0.119000     144.600006       1.549510      67.374779       9.848947      78.773232
14.000000       0.119000     144.600006       1.549510      72.557457       9.848947      83.955910
15.000000       0.119000     144.600006       1.549510      77.740128       9.848947      89.138580
16.000000       0.119000     144.600006       1.549510      82.922806       9.848947      94.321259
