   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     1.00      0.20    400.00       1.9      16.5      37.7      56.1
     1.00      0.30    400.00       3.1      24.8      56.6      84.5
     1.00      0.40    400.00       4.4      33.0      75.5     113.0
     1.00      0.50    400.00       5.9      41.3      94.4     141.5
     1.00      0.60    400.00       7.4      49.5     113.2     170.1
     1.00      0.70    400.00       8.9      57.8     132.1     198.8
     1.00      0.80    400.00      10.6      66.0     151.0     227.6
     1.00      0.90    400.00      12.2      74.3     169.9     256.4
     1.00      1.00    400.00      14.0      82.5     188.7     285.2
     1.00      1.10    400.00      15.7      90.8     207.6     314.1
     1.00      0.20    500.00       2.3      16.5      37.7      56.6
     1.00      0.30    500.00       3.9      24.8      56.6      85.3
     1.00      0.40    500.00       5.6      33.0      75.5     114.1
     1.00      0.50    500.00       7.3      41.3      94.4     143.0
     1.00      0.60    500.00       9.2      49.5     113.2     172.0
     1.00      0.70    500.00      11.2      57.8     132.1     201.1
     1.00      0.80    500.00      13.2      66.0     151.0     230.2
     1.00      0.90    500.00      15.3      74.3     169.9     259.4
     1.00      1.00    500.00      17.5      82.5     188.7     288.7
     1.00      1.10    500.00      19.7      90.8     207.6     318.1
     1.00      0.20    600.00       2.8      16.5      37.7      57.1
     1.00      0.30    600.00       4.7      24.8      56.6      86.0
     1.00      0.40    600.00       6.7      33.0      75.5     115.2
     1.00      0.50    600.00       8.8      41.3      94.4     144.4
     1.00      0.60    600.00      11.1      49.5     113.2     173.8
     1.00      0.70    600.00      13.4      57.8     132.1     203.3
     1.00      0.80    600.00      15.9      66.0     151.0     232.9
     1.00      0.90    600.00      18.4      74.3     169.9     262.5
     1.00      1.00    600.00      21.0      82.5     188.7     292.2
     1.00      1.10    600.00      23.6      90.8     207.6     322.0
     1.00      0.20    700.00       3.3      16.5      37.7      57.5
     1.00      0.30    700.00       5.4      24.8      56.6      86.8
     1.00      0.40    700.00       7.8      33.0      75.5     116.3
     1.00      0.50    700.00      10.3      41.3      94.4     145.9
     1.00      0.60    700.00      12.9      49.5     113.2     175.7
     1.00      0.70    700.00      15.7      57.8     132.1     205.5
     1.00      0.80    700.00      18.5      66.0     151.0     235.5
