     SPEED            =  1.000  Knots 
     BREADTH          =   19.000
     FRICTIONAL COEFF.=    0.500E-01
THE NUMBER OF FRAMES =  161
     X_COOR(I)        Y(I)    Z_COOR(I)    X_NORM(I)    Y_NORM(I)    Z_NORM(I)     ALPHA(I)      BETA(I)     GAMMA(I)
      90.0000       2.7450       6.0000       0.3830       0.6760      -0.6300      29.5610      42.9920      58.6830
      89.5000       3.0280       6.0000       0.3830       0.6760      -0.6300      29.5610      42.9920      58.6830
      89.0000       3.3080       6.0000       0.3610       0.6860      -0.6320      27.7470      42.6810      60.2960
      88.5000       3.5690       6.0000       0.3610       0.6920      -0.6260      27.5270      42.1240      60.0450
      88.0000       3.8300       6.0000       0.3610       0.6920      -0.6260      27.5270      42.1240      60.0450
      87.5000       4.0750       6.0000       0.3410       0.7030      -0.6240      25.8710      41.6100      61.3640
      87.0000       4.3180       6.0000       0.3410       0.7030      -0.6240      25.8710      41.6100      61.3640
      86.5000       4.5460       6.0000       0.3210       0.7080      -0.6290      24.4010      41.6100      62.9440
      86.0000       4.7740       6.0000       0.3270       0.7120      -0.6210      24.6460      41.0740      62.2360
      85.5000       4.9850       6.0000       0.2990       0.7190      -0.6270      22.5810      41.0740      64.4920
      85.0000       5.1930       6.0000       0.2990       0.7190      -0.6270      22.5810      41.0740      64.4920
      84.5000       5.3960       6.0000       0.2800       0.7300      -0.6240      20.9890      40.5150      65.8220
      84.0000       5.5860       6.0000       0.2790       0.7380      -0.6150      20.7380      39.8160      65.5740
      83.5000       5.7750       6.0000       0.2790       0.7380      -0.6150      20.7380      39.8160      65.5740
      83.0000       5.9520       6.0000       0.2550       0.7430      -0.6190      18.9760      39.8170      67.5850
      82.5000       6.1240       6.0000       0.2550       0.7430      -0.6190      18.9760      39.8170      67.5850
      82.0000       6.2980       6.0000       0.2640       0.7520      -0.6040      19.3330      38.7910      66.4190
      81.5000       6.4530       6.0000       0.2340       0.7580      -0.6090      17.1670      38.7910      68.9760
      81.0000       6.6070       6.0000       0.2340       0.7580      -0.6090      17.1670      38.7910      68.9760
      80.5000       6.7620       6.0000       0.2130       0.7750      -0.5950      15.3540      37.4880      70.3020
      80.0000       6.8990       6.0000       0.2130       0.7750      -0.5950      15.3540      37.4880      70.3020
      79.5000       7.0370       6.0000       0.2130       0.7750      -0.5950      15.3540      37.4880      70.3020
      79.0000       7.1740       6.0000       0.1920       0.7940      -0.5760      13.6130      35.9670      71.5450
      78.5000       7.2960       6.0000       0.1920       0.7940      -0.5760      13.6130      35.9670      71.5450
      78.0000       7.4170       6.0000       0.1920       0.7940      -0.5760      13.6130      35.9670      71.5450
      77.5000       7.5400       6.0000       0.1790       0.8140      -0.5520      12.3950      34.1210      72.0300
      77.0000       7.6500       6.0000       0.1790       0.8140      -0.5520      12.3950      34.1210      72.0300
      76.5000       7.7580       6.0000       0.1720       0.8250      -0.5380      11.7960      33.1210      72.2510
      76.0000       7.8600       6.0000       0.1720       0.8310      -0.5290      11.7210      32.4880      71.9540
      75.5000       7.9570       6.0000       0.1560       0.8500      -0.5030      10.3820      30.5810      72.7750
      75.0000       8.0490       6.0000       0.1550       0.8510      -0.5010      10.3320      30.4770      72.7890
      74.5000       8.1400       6.0000       0.1570       0.8520      -0.4980      10.4570      30.3170      72.4820
      74.0000       8.2270       6.0000       0.1380       0.8740      -0.4650       8.9560      28.0260      73.5080
      73.5000       8.3040       6.0000       0.1360       0.8750      -0.4650       8.8440      27.9880      73.6810
      73.0000       8.3830       6.0000       0.1370       0.8750      -0.4640       8.9130      27.9590      73.5400
      72.5000       8.4580       6.0000       0.1170       0.8930      -0.4350       7.4900      26.0020      74.9150
      72.0000       8.5240       6.0000       0.1250       0.8920      -0.4350       8.0070      26.0020      73.9140
      71.5000       8.5930       6.0000       0.1000       0.9100      -0.4030       6.2420      23.8840      76.1250
      71.0000       8.6460       6.0000       0.0940       0.9110      -0.4010       5.8680      23.7360      76.8450
      70.5000       8.7030       6.0000       0.1060       0.9180      -0.3810       6.6110      22.5400      74.3980
      70.0000       8.7610       6.0000       0.1060       0.9180      -0.3810       6.6110      22.5400      74.3980
      69.5000       8.8110       6.0000       0.0870       0.9270      -0.3640       5.3670      21.4470      76.5510
      69.0000       8.8590       6.0000       0.0890       0.9280      -0.3610       5.4680      21.2330      76.1590
      68.5000       8.9030       6.0000       0.0800       0.9420      -0.3260       4.8300      19.0890      76.2790
      68.0000       8.9390       6.0000       0.0700       0.9500      -0.3040       4.2080      17.7600      77.0620
      67.5000       8.9790       6.0000       0.0820       0.9500      -0.3030       4.9090      17.6750      74.9160
