   Vs(kts)     Hi(m) sigf(kPa)  R_br(kN)  R_cl(kN)  R_bu(kN)   R_i(kN)
     1.00      0.20    400.00      32.9      10.2      37.6      80.7
     1.00      0.30    400.00      54.6      15.3      56.4     126.3
     1.00      0.40    400.00      78.2      20.4      75.2     173.9
     1.00      0.50    400.00     103.4      25.5      94.0     223.0
     1.00      0.60    400.00     129.9      30.7     112.8     273.3
     1.00      0.70    400.00     157.5      35.8     131.6     324.9
     1.00      0.80    400.00     186.1      40.9     150.4     377.4
     1.00      0.90    400.00     215.6      46.0     169.2     430.8
     1.00      1.00    400.00     246.0      51.1     188.0     485.1
     1.00      1.10    400.00     277.1      56.2     206.8     540.1
     1.00      0.20    500.00      41.1      10.2      37.6      88.9
     1.00      0.30    500.00      68.3      15.3      56.4     140.0
     1.00      0.40    500.00      97.8      20.4      75.2     193.4
     1.00      0.50    500.00     129.3      25.5      94.0     248.8
     1.00      0.60    500.00     162.4      30.7     112.8     305.8
     1.00      0.70    500.00     196.9      35.8     131.6     364.2
     1.00      0.80    500.00     232.6      40.9     150.4     423.9
     1.00      0.90    500.00     269.5      46.0     169.2     484.7
     1.00      1.00    500.00     307.5      51.1     188.0     546.6
     1.00      1.10    500.00     346.4      56.2     206.8     609.4
     1.00      0.20    600.00      49.3      10.2      37.6      97.2
     1.00      0.30    600.00      81.9      15.3      56.4     153.6
     1.00      0.40    600.00     117.4      20.4      75.2     213.0
     1.00      0.50    600.00     155.1      25.5      94.0     274.7
     1.00      0.60    600.00     194.8      30.7     112.8     338.3
     1.00      0.70    600.00     236.2      35.8     131.6     403.6
     1.00      0.80    600.00     279.2      40.9     150.4     470.4
     1.00      0.90    600.00     323.4      46.0     169.2     538.6
     1.00      1.00    600.00     369.0      51.1     188.0     608.0
     1.00      1.10    600.00     415.6      56.2     206.8     678.6
     1.00      0.20    700.00      57.6      10.2      37.6     105.4
     1.00      0.30    700.00      95.6      15.3      56.4     167.3
     1.00      0.40    700.00     136.9      20.4      75.2     232.6
     1.00      0.50    700.00     181.0      25.5      94.0     300.5
     1.00      0.60    700.00     227.3      30.7     112.8     370.8
     1.00      0.70    700.00     275.6      35.8     131.6     443.0
     1.00      0.80    700.00     325.7      40.9     150.4     516.9
     1.00      0.90    700.00     377.3      46.0     169.2     592.5
     1.00      1.00    700.00     430.5      51.1     188.0     669.5
     1.00      1.10    700.00     484.9      56.2     206.8     747.9
     1.00      0.20    800.00      65.8      10.2      37.6     113.6
     1.00      0.30    800.00     109.2      15.3      56.4     181.0
     1.00      0.40    800.00     156.5      20.4      75.2     252.1
